"","GEOID","perCapInc"
"1","60601",92125
"2","60602",100507
"3","60603",117992
"4","60604",114575
"5","60605",83408
"6","60606",132765
"7","60607",57416
"8","60608",21447
"9","60609",17436
"10","60610",82720
"11","60611",108092
"12","60612",26796
"13","60613",62636
"14","60614",82845
"15","60615",38519
"16","60616",32794
"17","60617",19773
"18","60618",41513
"19","60619",21981
"20","60620",19957
"21","60621",14117
"22","60622",59459
"23","60623",13678
"24","60624",13340
"25","60625",34242
"26","60626",28680
"27","60628",20923
"28","60629",17298
"29","60630",33715
"30","60631",47400
"31","60632",16648
"32","60633",24198
"33","60634",29521
"34","60636",15839
"35","60637",25391
"36","60638",29348
"37","60639",18157
"38","60640",41669
"39","60641",29244
"40","60642",58933
"41","60643",33263
"42","60644",15856
"43","60645",27248
"44","60646",47770
"45","60647",42242
"46","60649",23787
"47","60651",17334
"48","60652",25062
"49","60653",26357
"50","60654",105224
"51","60655",40058
"52","60656",34916
"53","60657",73513
"54","60659",24140
"55","60660",36455
"56","60661",83672
